AUPR	AUC	Time	Params
0.769205	0.969323	0.084254	{'k': 7, 'kr': 1, 'T': 0.8}
0.722918	0.926957	0.080096	{'k': 3, 'kr': 1, 'T': 0.9}
0.809488	0.937003	0.078932	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.931408	0.985469	0.083903	{'k': 7, 'kr': 1, 'T': 0.9}
0.853763	0.961924	0.084370	{'k': 5, 'kr': 1, 'T': 0.8}
0.780335	0.927754	0.087581	{'k': 5, 'kr': 1, 'T': 0.8}
0.709222	0.918350	0.079731	{'k': 3, 'kr': 1, 'T': 0.9}
0.819359	0.957359	0.087922	{'k': 7, 'kr': 1, 'T': 0.8}
0.852356	0.945185	0.079497	{'k': 5, 'kr': 1, 'T': 0.8}
0.806900	0.955953	0.076621	{'k': 3, 'kr': 1, 'T': 0.9}
0.899725	0.966774	0.081143	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.749289	0.915733	0.080311	{'k': 3, 'kr': 1, 'T': 0.9}
0.849685	0.960386	0.082637	{'k': 5, 'kr': 1, 'T': 0.9}
0.596531	0.858133	0.087101	{'k': 5, 'kr': 1, 'T': 0.8}
0.718643	0.956885	0.083248	{'k': 5, 'kr': 1, 'T': 0.8}
0.836146	0.931166	0.089965	{'k': 7, 'kr': 1, 'T': 0.7000000000000001}
0.851516	0.957340	0.085925	{'k': 5, 'kr': 1, 'T': 0.9}
0.893247	0.974282	0.085439	{'k': 7, 'kr': 1, 'T': 0.9}
0.764481	0.926965	0.081994	{'k': 5, 'kr': 1, 'T': 0.8}
0.748679	0.919995	0.080928	{'k': 3, 'kr': 1, 'T': 0.9}
