AUPR	AUC	Time	Params
0.452182	0.888002	0.000997	{'k': 9, 'T': 0.8}
0.344003	0.905298	0.001994	{'k': 9, 'T': 0.8}
0.388562	0.792188	0.001994	{'k': 9, 'T': 0.8}
0.205428	0.655370	0.002020	{'k': 9, 'T': 0.8}
0.310937	0.790949	0.000997	{'k': 9, 'T': 0.8}
0.336807	0.689786	0.000997	{'k': 7, 'T': 0.8}
0.306986	0.655006	0.001995	{'k': 9, 'T': 0.7000000000000001}
0.488250	0.825761	0.001995	{'k': 7, 'T': 0.8}
0.243393	0.639979	0.001996	{'k': 7, 'T': 0.8}
0.389317	0.796609	0.001995	{'k': 9, 'T': 0.9}
0.087871	0.588957	0.000997	{'k': 9, 'T': 0.8}
0.447457	0.821488	0.001994	{'k': 9, 'T': 0.8}
0.340278	0.708313	0.001985	{'k': 9, 'T': 0.8}
0.287039	0.708047	0.000997	{'k': 7, 'T': 0.8}
0.304639	0.643797	0.001995	{'k': 9, 'T': 0.8}
0.203912	0.741617	0.001995	{'k': 9, 'T': 0.8}
0.394450	0.816853	0.001993	{'k': 9, 'T': 0.8}
0.522371	0.937719	0.002020	{'k': 9, 'T': 0.7000000000000001}
0.397262	0.724335	0.000997	{'k': 7, 'T': 0.9}
0.621780	0.931175	0.000997	{'k': 7, 'T': 0.8}
