AUPR	AUC	Time	Params
0.090349	0.752759	0.070804	{'k': 9, 'T': 0.9}
0.109369	0.733386	0.064799	{'k': 3, 'T': 0.1}
0.116095	0.661541	0.062834	{'k': 3, 'T': 0.30000000000000004}
0.117026	0.794399	0.066822	{'k': 9, 'T': 1.0}
0.181858	0.746144	0.063857	{'k': 7, 'T': 0.2}
0.195473	0.766247	0.061860	{'k': 5, 'T': 0.1}
0.141010	0.819293	0.064827	{'k': 9, 'T': 1.0}
0.126939	0.682722	0.062862	{'k': 3, 'T': 0.7000000000000001}
0.114485	0.737574	0.062860	{'k': 9, 'T': 0.2}
0.102812	0.749857	0.065804	{'k': 5, 'T': 0.6}
0.219660	0.787743	0.066820	{'k': 5, 'T': 0.2}
0.084657	0.670314	0.068819	{'k': 5, 'T': 0.1}
0.111580	0.756975	0.065844	{'k': 5, 'T': 0.8}
0.155285	0.672373	0.064807	{'k': 3, 'T': 0.2}
0.278143	0.813872	0.069840	{'k': 9, 'T': 0.5}
0.119588	0.655944	0.064851	{'k': 9, 'T': 0.5}
0.164039	0.809757	0.069836	{'k': 9, 'T': 0.9}
0.257514	0.819994	0.066822	{'k': 9, 'T': 0.6}
