AUPR	AUC	Time	Params
0.119062	0.649958	0.866151	{'k': 2}
0.156377	0.659837	0.821398	{'k': 2}
0.162788	0.645380	0.847211	{'k': 2}
0.152461	0.731333	0.903581	{'k': 3}
0.153056	0.752217	0.860765	{'k': 3}
0.156326	0.785529	0.844969	{'k': 3}
0.179076	0.624545	0.953533	{'k': 2}
0.175316	0.650636	0.941466	{'k': 2}
0.227109	0.707527	0.870971	{'k': 3}
0.126175	0.631879	0.879780	{'k': 3}
0.145247	0.669279	0.853819	{'k': 3}
0.072277	0.599506	0.890875	{'k': 1}
0.184741	0.688393	0.877435	{'k': 3}
0.097089	0.682770	0.853768	{'k': 2}
0.156052	0.686257	0.846158	{'k': 2}
0.167070	0.716183	0.862936	{'k': 3}
0.109005	0.744817	0.847374	{'k': 2}
0.114545	0.707242	0.852361	{'k': 2}
