AUPR	AUC	Time	Params
0.801805	0.972306	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.458271	0.620382	0.000999	{'alpha': 0.30000000000000004, 'gamma': 1.0, 'sigma': 0.25, 'avg': True}
0.399987	0.490789	0.000998	{'alpha': 0.4, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.381923	0.701452	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.140761	0.356111	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.264046	0.303089	0.000998	{'alpha': 0.6000000000000001, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.271412	0.266827	0.000998	{'alpha': 0.9, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.271385	0.264423	0.000998	{'alpha': 0.8, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.854167	0.992788	0.000998	{'alpha': 0.0, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.617053	0.607767	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.660762	0.911521	0.000998	{'alpha': 0.5, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.197810	0.369863	0.000998	{'alpha': 0.6000000000000001, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.932540	0.996313	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.371798	0.642747	0.000997	{'alpha': 0.4, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.448727	0.447926	0.000998	{'alpha': 0.9, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.322071	0.672801	0.000998	{'alpha': 0.0, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.759346	0.752404	0.000000	{'alpha': 0.8, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.271325	0.264423	0.000998	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.157128	0.205102	0.001000	{'alpha': 0.9, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.349117	0.346032	0.000999	{'alpha': 0.7000000000000001, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
