AUPR	AUC	Time	Params
0.062703	0.678981	0.009999	{'k': 7, 'kr': 1, 'T': 1.0}
0.129691	0.664444	0.008975	{'k': 9, 'kr': 1, 'T': 0.1}
0.069272	0.634058	0.008975	{'k': 5, 'kr': 1, 'T': 0.5}
0.159461	0.618141	0.009973	{'k': 5, 'kr': 1, 'T': 1.0}
0.112741	0.659722	0.007979	{'k': 2, 'kr': 1, 'T': 0.30000000000000004}
0.170490	0.705400	0.009969	{'k': 9, 'kr': 1, 'T': 0.9}
0.383121	0.779263	0.008006	{'k': 5, 'kr': 1, 'T': 1.0}
0.194984	0.729479	0.008006	{'k': 5, 'kr': 1, 'T': 0.1}
0.303141	0.711111	0.008974	{'k': 5, 'kr': 1, 'T': 1.0}
0.498660	0.729995	0.010010	{'k': 9, 'kr': 1, 'T': 0.1}
0.231458	0.786175	0.008005	{'k': 5, 'kr': 1, 'T': 0.30000000000000004}
0.205128	0.924350	0.007977	{'k': 3, 'kr': 1, 'T': 0.4}
0.240235	0.762628	0.007979	{'k': 5, 'kr': 1, 'T': 0.9}
0.058762	0.575576	0.007013	{'k': 3, 'kr': 1, 'T': 0.1}
0.053655	0.730496	0.008976	{'k': 9, 'kr': 1, 'T': 0.1}
0.059503	0.330278	0.008976	{'k': 9, 'kr': 1, 'T': 0.8}
0.146402	0.583494	0.008976	{'k': 7, 'kr': 1, 'T': 1.0}
0.117846	0.538243	0.008976	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
