AUPR	AUC	Time	Params
0.065779	0.690119	0.513588	{'k': 7, 'n_sf': 50}
0.082739	0.774910	0.423361	{'k': 3, 'n_sf': 10}
0.078447	0.736467	0.503566	{'k': 5, 'n_sf': 50}
0.077941	0.725000	0.546563	{'k': 7, 'n_sf': 50}
0.090422	0.773660	0.329163	{'k': 2, 'n_sf': 10}
0.135896	0.790478	0.298868	{'k': 1, 'n_sf': 10}
0.182378	0.824470	0.341303	{'k': 3, 'n_sf': 10}
0.157374	0.802443	0.423708	{'k': 9, 'n_sf': 20}
0.129569	0.799911	0.455804	{'k': 2, 'n_sf': 50}
0.090950	0.804251	0.354148	{'k': 1, 'n_sf': 20}
0.149286	0.796411	0.519607	{'k': 5, 'n_sf': 50}
0.105480	0.840790	0.361085	{'k': 2, 'n_sf': 10}
0.184131	0.763352	0.340072	{'k': 1, 'n_sf': 20}
0.114041	0.794697	0.349092	{'k': 3, 'n_sf': 10}
0.157020	0.799261	0.376040	{'k': 3, 'n_sf': 10}
0.047748	0.641781	0.576512	{'k': 7, 'n_sf': 50}
0.090391	0.742018	0.373953	{'k': 3, 'n_sf': 20}
0.118273	0.825074	0.569504	{'k': 5, 'n_sf': 50}
