AUPR	AUC	Time	Params
0.810277	0.984347	0.000998	{'k': 9, 'T': 0.8}
0.366891	0.734395	0.000998	{'k': 7, 'T': 0.8}
0.417037	0.638487	0.000000	{'k': 9, 'T': 0.9}
0.370723	0.646910	0.000998	{'k': 7, 'T': 0.9}
0.151235	0.404167	0.000998	{'k': 7, 'T': 0.9}
0.282187	0.548745	0.000000	{'k': 2, 'T': 0.5}
0.277778	0.502404	0.000996	{'k': 7, 'T': 0.8}
0.277778	0.513221	0.000000	{'k': 7, 'T': 0.4}
0.916667	0.997596	0.000998	{'k': 7, 'T': 0.9}
0.618519	0.757282	0.000998	{'k': 9, 'T': 0.9}
0.524951	0.824885	0.000000	{'k': 3, 'T': 0.5}
0.217632	0.512628	0.000998	{'k': 7, 'T': 0.7000000000000001}
0.819048	0.991705	0.000998	{'k': 9, 'T': 0.9}
0.541175	0.772845	0.000998	{'k': 9, 'T': 0.9}
0.453263	0.655300	0.000998	{'k': 9, 'T': 0.8}
0.250422	0.578763	0.000000	{'k': 9, 'T': 0.8}
0.759259	0.846154	0.000000	{'k': 9, 'T': 0.9}
0.277778	0.455529	0.000998	{'k': 9, 'T': 0.7000000000000001}
0.179337	0.414796	0.000000	{'k': 7, 'T': 0.9}
0.351852	0.590476	0.000000	{'k': 5, 'T': 0.9}
