AUPR	AUC	Time	Params
0.500890	0.768794	0.051865	{'k': 9, 'kr': 1, 'T': 0.9}
0.732913	0.885672	0.051861	{'k': 9, 'kr': 1, 'T': 0.9}
0.817808	0.956174	0.049868	{'k': 9, 'kr': 1, 'T': 0.9}
0.742451	0.903711	0.051893	{'k': 9, 'kr': 1, 'T': 0.9}
0.803437	0.916241	0.050890	{'k': 9, 'kr': 1, 'T': 0.9}
0.827409	0.948642	0.077823	{'k': 9, 'kr': 1, 'T': 0.9}
0.666405	0.853838	0.051888	{'k': 9, 'kr': 1, 'T': 0.9}
0.797171	0.934242	0.058892	{'k': 9, 'kr': 1, 'T': 1.0}
0.860463	0.975165	0.051892	{'k': 9, 'kr': 1, 'T': 0.9}
0.865078	0.953383	0.070813	{'k': 9, 'kr': 1, 'T': 0.9}
0.799838	0.953533	0.050892	{'k': 9, 'kr': 1, 'T': 1.0}
0.824322	0.947677	0.051859	{'k': 9, 'kr': 1, 'T': 0.9}
0.893298	0.975211	0.049899	{'k': 9, 'kr': 1, 'T': 1.0}
0.749610	0.928176	0.050869	{'k': 9, 'kr': 1, 'T': 0.9}
0.756571	0.909348	0.050869	{'k': 9, 'kr': 1, 'T': 0.9}
0.681748	0.869001	0.050893	{'k': 9, 'kr': 1, 'T': 0.9}
0.833380	0.944209	0.053855	{'k': 9, 'kr': 1, 'T': 0.9}
0.830795	0.949432	0.052863	{'k': 9, 'kr': 1, 'T': 0.9}
0.840515	0.944702	0.066822	{'k': 9, 'kr': 1, 'T': 0.9}
0.807479	0.927547	0.051861	{'k': 9, 'kr': 1, 'T': 0.9}
