AUPR	AUC	Time	Params
0.484067	0.646909	1.043210	{'k': 1, 'n_sf': 50}
0.698310	0.944941	1.074126	{'k': 1, 'n_sf': 50}
0.767778	0.925570	1.062138	{'k': 1, 'n_sf': 50}
0.722066	0.842395	1.191784	{'k': 1, 'n_sf': 50}
0.792312	0.921380	1.081139	{'k': 1, 'n_sf': 50}
0.775879	0.920657	1.080084	{'k': 1, 'n_sf': 50}
0.671271	0.810339	1.069140	{'k': 1, 'n_sf': 50}
0.797638	0.891671	1.057201	{'k': 1, 'n_sf': 50}
0.837345	0.971243	1.075161	{'k': 1, 'n_sf': 50}
0.864186	0.955005	1.199705	{'k': 1, 'n_sf': 50}
0.761583	0.885393	1.084100	{'k': 1, 'n_sf': 50}
0.794807	0.924575	1.081071	{'k': 1, 'n_sf': 50}
0.867722	0.974577	1.094043	{'k': 1, 'n_sf': 50}
0.760677	0.895090	1.092077	{'k': 1, 'n_sf': 50}
0.732733	0.882417	1.076125	{'k': 1, 'n_sf': 50}
0.626858	0.800816	1.069141	{'k': 1, 'n_sf': 50}
0.775016	0.914026	1.164915	{'k': 2, 'n_sf': 50}
0.849768	0.963817	1.126989	{'k': 1, 'n_sf': 50}
0.767939	0.914653	1.112995	{'k': 1, 'n_sf': 50}
0.802985	0.941512	1.043241	{'k': 1, 'n_sf': 50}
