AUPR	AUC	Time	Params
0.208219	0.814143	0.163564	{'k': 9, 'T': 1.0}
0.197654	0.748430	0.156555	{'k': 9, 'T': 0.1}
0.275038	0.782460	0.136587	{'k': 9, 'T': 1.0}
0.174172	0.711154	0.129680	{'k': 9, 'T': 0.7000000000000001}
0.128763	0.654181	0.130680	{'k': 9, 'T': 0.7000000000000001}
0.238385	0.746046	0.129679	{'k': 9, 'T': 0.7000000000000001}
0.270968	0.728844	0.138659	{'k': 7, 'T': 0.4}
0.226141	0.696874	0.134643	{'k': 9, 'T': 0.8}
0.247510	0.753012	0.133670	{'k': 9, 'T': 0.8}
0.139289	0.673952	0.128655	{'k': 9, 'T': 0.7000000000000001}
0.093920	0.649732	0.128679	{'k': 9, 'T': 0.6}
0.118079	0.661382	0.153621	{'k': 9, 'T': 0.7000000000000001}
0.235382	0.702043	0.129652	{'k': 9, 'T': 0.8}
0.243837	0.707932	0.124666	{'k': 7, 'T': 0.7000000000000001}
0.168658	0.648247	0.129689	{'k': 9, 'T': 0.7000000000000001}
0.279603	0.830236	0.129680	{'k': 9, 'T': 0.9}
0.372078	0.856124	0.132664	{'k': 9, 'T': 0.9}
0.266587	0.816311	0.167585	{'k': 9, 'T': 0.9}
