AUPR	AUC	Time	Params
0.030864	0.385350	0.013994	{'k': 9}
0.104087	0.434167	0.008977	{'k': 1}
0.033443	0.294686	0.008975	{'k': 2}
0.092593	0.438776	0.015951	{'k': 9}
0.074074	0.440000	0.014975	{'k': 9}
0.077494	0.418319	0.009999	{'k': 1}
0.046669	0.449309	0.009999	{'k': 3}
0.092441	0.487352	0.008975	{'k': 1}
0.092893	0.499177	0.010999	{'k': 3}
0.113150	0.594476	0.010997	{'k': 3}
0.043210	0.500000	0.014997	{'k': 9}
0.031351	0.554374	0.008974	{'k': 1}
0.093364	0.357021	0.010010	{'k': 1}
0.041446	0.447465	0.013994	{'k': 9}
0.028322	0.575650	0.008003	{'k': 1}
0.072222	0.476667	0.009973	{'k': 3}
0.102854	0.500000	0.009949	{'k': 2}
0.092753	0.346512	0.008972	{'k': 1}
