AUPR	AUC	Time	Params
0.406062	0.657214	0.367034	{'k': 3}
0.751528	0.940228	0.361067	{'k': 2}
0.799553	0.931423	0.371098	{'k': 3}
0.723314	0.835608	0.367052	{'k': 3}
0.785173	0.927800	0.361215	{'k': 2}
0.782673	0.916272	0.370074	{'k': 3}
0.654335	0.811143	0.369080	{'k': 3}
0.778147	0.896664	0.365149	{'k': 2}
0.834532	0.975184	0.404986	{'k': 5}
0.859593	0.954183	0.370042	{'k': 3}
0.760387	0.886514	0.366232	{'k': 3}
0.823463	0.930501	0.374569	{'k': 3}
0.851042	0.976306	0.367655	{'k': 2}
0.735363	0.900884	0.365079	{'k': 3}
0.712005	0.868031	0.404042	{'k': 2}
0.626015	0.814021	0.367081	{'k': 2}
0.766867	0.923531	0.367051	{'k': 2}
0.850924	0.962980	0.370054	{'k': 3}
0.805026	0.915568	0.365025	{'k': 2}
0.699960	0.935748	0.368567	{'k': 3}
