AUPR	AUC	Time	Params
0.217128	0.747771	0.163588	{'k': 2}
0.129140	0.703369	0.144642	{'k': 2}
0.176548	0.723909	0.138641	{'k': 1}
0.123424	0.643171	0.143610	{'k': 2}
0.111792	0.617149	0.135641	{'k': 1}
0.206756	0.730162	0.140627	{'k': 2}
0.211858	0.700797	0.145607	{'k': 2}
0.136754	0.666061	0.140650	{'k': 1}
0.120376	0.710265	0.141653	{'k': 1}
0.094732	0.641619	0.147633	{'k': 1}
0.048920	0.648219	0.143595	{'k': 1}
0.077862	0.649669	0.143643	{'k': 1}
0.135748	0.634201	0.149565	{'k': 3}
0.149892	0.703989	0.146642	{'k': 1}
0.106797	0.650980	0.139654	{'k': 1}
0.182646	0.748686	0.145642	{'k': 1}
0.259859	0.806086	0.139642	{'k': 1}
0.179394	0.774891	0.140651	{'k': 1}
