AUPR	AUC	Time	Params
0.124256	0.755879	0.139595	{'k': 2}
0.126009	0.734866	0.134645	{'k': 2}
0.226922	0.745084	0.137630	{'k': 2}
0.135983	0.670080	0.137664	{'k': 2}
0.100464	0.664618	0.130254	{'k': 1}
0.160515	0.685033	0.130651	{'k': 1}
0.116882	0.679129	0.133648	{'k': 1}
0.090140	0.615931	0.133250	{'k': 1}
0.122482	0.702450	0.130685	{'k': 1}
0.071382	0.552683	0.139621	{'k': 2}
0.083795	0.680272	0.129054	{'k': 1}
0.100345	0.658983	0.146634	{'k': 1}
0.155195	0.640839	0.137639	{'k': 2}
0.145731	0.685776	0.152592	{'k': 1}
0.108466	0.602202	0.130678	{'k': 1}
0.145427	0.716100	0.148602	{'k': 1}
0.213257	0.791084	0.135004	{'k': 1}
0.126822	0.761992	0.133642	{'k': 1}
