AUPR	AUC	Time	Params
0.706827	0.966968	0.014961	{'k': 9, 'kr': 1, 'T': 0.9}
0.741786	0.939602	0.010971	{'k': 5, 'kr': 1, 'T': 0.8}
0.802420	0.941838	0.012993	{'k': 7, 'kr': 1, 'T': 0.7000000000000001}
0.921293	0.982722	0.012992	{'k': 7, 'kr': 1, 'T': 0.9}
0.857707	0.969562	0.014956	{'k': 9, 'kr': 1, 'T': 0.8}
0.799332	0.930393	0.012965	{'k': 7, 'kr': 1, 'T': 0.8}
0.744783	0.921498	0.011967	{'k': 7, 'kr': 1, 'T': 0.8}
0.812543	0.958348	0.013989	{'k': 7, 'kr': 1, 'T': 0.8}
0.852016	0.941829	0.012964	{'k': 7, 'kr': 1, 'T': 0.8}
0.846907	0.954971	0.015983	{'k': 9, 'kr': 1, 'T': 0.8}
0.893578	0.963933	0.012989	{'k': 7, 'kr': 1, 'T': 0.8}
0.752652	0.910485	0.012969	{'k': 7, 'kr': 1, 'T': 0.8}
0.843857	0.958562	0.012965	{'k': 7, 'kr': 1, 'T': 0.8}
0.603171	0.863338	0.013964	{'k': 7, 'kr': 1, 'T': 0.8}
0.704289	0.961322	0.015953	{'k': 9, 'kr': 1, 'T': 0.8}
0.842991	0.926538	0.015958	{'k': 9, 'kr': 1, 'T': 0.8}
0.854491	0.957330	0.013988	{'k': 7, 'kr': 1, 'T': 0.8}
0.872890	0.972694	0.014989	{'k': 9, 'kr': 1, 'T': 0.9}
0.763002	0.941631	0.012966	{'k': 7, 'kr': 1, 'T': 0.8}
0.796050	0.944980	0.014934	{'k': 7, 'kr': 1, 'T': 0.9}
